state,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,status_of_reopening,bar_closures,emergency_declaration,TotalPop,discuss,discussOppose,reducetax,reducetaxOppose,CO2limits,CO2limitsOppose,localofficials,localofficialsOppose,governor,governorOppose,congress,congressOppose,president,presidentOppose,corporations,corporationsOppose,citizens,citizensOppose,regulate,regulateOppose,supportRPS,supportRPSOppose,drilloffshore,drilloffshoreOppose,drillANWR,drillANWROppose,fundrenewables,fundrenewablesOppose,rebates,rebatesOppose,mediaweekly,mediaweeklyOppose,prienv,prienvOppose,teachGW,teachGWOppose,happening,happeningOppose,human,humanOppose,consensus,consensusOppose,worried,worriedOppose,personal,personalOppose,harmUS,harmUSOppose,devharm,devharmOppose,futuregen,futuregenOppose,harmplants,harmplantsOppose,timing,timingOppose,affectweather,affectweatherOppose,score.x,score.y
Alabama,-16.58914729,1.782945736,32.13953488,-9.612403101,-29.13178295,9.744186047,Paused,Reopened,Yes,3735975,28.677,71.267,60.307,38.446,62.625,36.675,52.721,16.631,52.937,18.039,53.937,23.261,55.015,16.346,63.29,13.062,58.249,13.826,67.757,31.161,55.477,44.267,61.854,36.634,36.307,62.015,79.409,19.88,79.037,20.002,25.172,73.022,67.488,29.13,73.634,25.731,58.41,19.583,46.193,37.76,41.046,28.199,52.015,47.77,36.857,50.634,50.792,35.895,55.188,29.967,57.862,27.258,59.9,26.22,42.431,57.569,49.219,8.803,47.46083333,47.46083333
Alaska,-7.682170543,6.03875969,104.496124,-22.50387597,-28.03100775,8.403100775,Proceeding with Reopening,Reopened,Yes,549239,38.811,60.41,61.414,37.886,62.935,36.526,51.189,18.816,47.219,22.632,55.2,25.089,53.862,17.185,66.649,12.538,61.414,12.165,68.737,30.204,56.572,42.364,52.708,46.786,34.56,64.044,82.701,16.357,80.889,18.024,36.852,61.491,69.707,26.013,74.561,25.045,64.769,19.6,47.609,37.047,49.852,30.318,56.442,43.047,38.396,54.335,55.018,37.281,61.081,30.836,64.092,26.852,67.672,25.926,44.125,55.875,54.937,8.045,51.9015,51.9015
Arizona,-26.85271318,-8.294573643,-13.84496124,-32.0620155,-36.1627907,12.19379845,New Restrictions Imposed,Newly Closed,Yes,5108959,38.699,61.105,62.293,37.067,65.413,33.8,55.253,17.621,54.231,18.477,58.706,21.864,57.605,14.9,68.203,12.228,62.175,12.692,70.923,28.728,61.169,38.117,56.118,42.852,38.198,60.799,82.355,17.028,80.419,19.052,37.229,61.22,69.31,28.514,75.418,24.358,66.601,17.628,51.541,33.736,51.498,27.269,59.557,40.418,42.353,49.216,57.518,34.1,61.216,28.382,64.73,24.491,66.01,24.582,47.167,52.833,58.402,7.556,54.53283333,54.53283333
Arkansas,-11.82945736,5.248062016,71.5503876,-9.534883721,-27.53488372,8.069767442,Paused,Reopened,Yes,2261238,30.274,69.58,61.671,37.941,62.027,37.469,52.408,17.898,51.531,19.31,54.853,25.278,53.958,18.222,63.726,13.327,59.003,14.301,66.568,32.995,57.127,42.464,58.305,40.057,37.995,60.177,78.751,21.23,78.015,20.923,28.739,69.807,64.031,30.337,73.547,25.869,59.982,20.744,46.61,37.456,42.102,30.059,52.986,46.972,36.547,52.131,51.773,37.332,57.28,31.16,61.526,26.482,63.309,26.005,42.286,57.714,50.778,9.301,48.59066667,48.59066667
California,-39.49612403,-9.782945736,-11.75968992,-44.49612403,-40.17054264,15.90697674,New Restrictions Imposed,Newly Closed,Yes,29513923,42.048,57.772,70.125,29.626,71.712,27.772,59.06,16.144,56.651,19.577,64.829,18.163,64.277,10.985,72.267,11.642,67.163,11.417,74.444,24.149,65.851,33.13,41.897,57.208,27.871,71.061,83.665,15.217,82.61,16.4,36.659,61.358,73.899,24.528,80.486,19.181,73.027,11.596,59.158,27.267,58.098,20.769,67.42,32.391,49.7,41.972,64.499,26.665,68.481,21.185,73.246,17.571,74.432,17.211,54.259,45.741,64.511,6.279,62.02016667,62.02016667
Colorado,-25.82945736,-5.372093023,48.13178295,-39.59689922,-38.87596899,12.86821705,New Restrictions Imposed,Newly Closed,Yes,4113114,40.655,59.22,62.859,36.671,67.944,31.359,54.627,17.466,53.917,18.705,60.311,21.698,58.164,14.559,70.151,11.889,64.703,12.103,71.856,27.676,62.42,37.378,45.414,54.372,31.273,69.733,83.793,15.704,81.525,18.441,39.862,58.644,70.191,26.823,75.768,24.052,68.053,16.722,53.04,32.36,53.63,26.931,60.301,39.689,41.529,51.361,57.807,34.893,62.316,28.754,68.009,22.789,69.29,23.013,47.352,52.648,60.984,6.955,55.71933333,55.71933333
Connecticut,-26.05426357,-8.96124031,66.5503876,-37.24031008,-37.9379845,14.35658915,Proceeding with Reopening,Closed,Yes,2814918,38.483,61.322,72.488,27.579,73.645,25.489,56.627,14.506,58.045,14.431,64.659,15.621,61.589,10.824,72.825,10.54,66.649,10.188,76.101,22.61,68.056,31.46,50.546,48.822,30.709,69.249,86.55,13.183,83.956,15.3,32.883,65.952,71.498,26.706,79.896,19.492,68.889,13.52,56.8,28.916,55.783,22.759,65.322,34.497,42.809,48.786,60.723,30.79,65.963,24.4,73.726,17.973,73.901,18.241,49.496,50.504,64.239,6.61,59.19383333,59.19383333
Delaware,-21.81395349,-6.751937984,44.07272727,-33.6124031,-35.86821705,13.02325581,New Restrictions Imposed,New Service Limits,Yes,730503,34.442,65.785,65.698,34.147,69.117,30.044,58.787,16.175,59.2,16.986,62.054,19.357,62.546,12.547,69.761,12.777,63.828,13.454,73.056,26.217,63.23,36.474,51.03,49.404,32.947,67.623,83.309,16.17,80.782,18.527,31.05,67.411,69.032,28.889,76.25,23.445,68.061,14.792,53.2,31.852,53.564,24.089,59.152,40.978,43.129,47.353,57.321,32.059,63.664,25.701,68.137,20.987,68.486,21.193,48.96,51.04,61.371,6.526,55.7505,55.7505
Florida,-31.1627907,-13.18604651,-28.31007752,-46.90697674,-35.58914729,13.11627907,New Restrictions Imposed,Newly Closed,Yes,15868175,34.444,65.573,65.321,34.251,67.428,31.814,59.387,16.422,59.518,16.585,61.749,19.366,61.37,13.279,68.839,12.547,62.993,13.131,72.498,26.809,62.488,36.341,47.948,51.246,34.821,64.307,82.837,16.492,80.183,19.153,31.749,66.862,68.292,28.717,76.728,22.935,67.747,15.893,52.022,33.392,51.239,25.358,59.324,40.686,43.465,48.195,57.081,32.435,61.416,27.848,66.719,23.016,68.041,22.67,48.841,51.159,58.421,7.154,54.975,54.975
Georgia,-21.03875969,-3.643410853,25.58139535,-38.72093023,-35.54263566,12.15503876,Proceeding with Reopening,Reopened,Yes,7604145,32.775,67.177,65.66,33.798,64.932,34.719,58.08,15.53,57.99,16.431,58.554,19.267,60.037,12.83,67.804,12.403,62.351,12.823,71.56,26.897,60.227,39.408,54.295,45.033,38.257,60.717,83.228,16.031,80.29,19.505,28.003,70.518,68.755,29.438,76.536,23.052,65.924,15.455,49.412,34.888,47.04,24.775,58.184,41.739,42.237,46.605,54.241,31.974,55.457,27.785,61.539,23.864,62.163,23.685,47.987,52.013,56.384,7.362,52.10883333,52.10883333
Hawaii,-41.28682171,-21.55813953,-45.36434109,-61.10077519,-38.35658915,15.76744186,Proceeding with Reopening,Reopened,Yes,1105457,44.707,54.849,72.646,26.833,77.211,21.956,58.392,16.198,55.673,20.061,68.552,18.132,63.28,10.785,74.885,11.106,69.18,10.57,75.626,23.507,67.219,31.261,44.628,54.371,26.517,71.977,85.736,13.136,83.998,14.45,36.64,61.077,75.318,21.884,80.397,19.029,74.532,10.891,61.229,25.87,62.66,21.421,68.665,31.098,50.452,43.424,66.773,26.169,73.955,19.605,77.425,15.231,78.554,15.384,55.193,44.807,68.012,4.853,64.534,64.534
