"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@thetzechun uh oh, “honor” is all that’s driven Japanese characters in Hollywood! 
Contrary to the stereotypes of J… https://t.co/j8Pi4cUipv",FALSE,0,"thetzechun",2020-07-21 20:55:31,TRUE,"1284550254768119812","1285679822568595456","3817651213","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShuheiKinoshita",0,FALSE,FALSE,NA,NA
"2","#TuesdayMotivation from #MeghanMarkle, #DuchessofSussex and inspiration for #SussexGreatForest. Go, and push the de… https://t.co/W3zGggYZai",FALSE,35,NA,2020-07-21 20:36:30,TRUE,NA,"1285675036930715658",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","SussexGtForest",10,FALSE,FALSE,NA,NA
"3","#YesWeCan #tyJ #IntelligentSpeech #MadeInTheImageOfGod #CreativeLikeOurCreator https://t.co/zC3F5qjKL7",FALSE,0,NA,2020-07-21 20:17:03,FALSE,NA,"1285670144996446213",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","OpenOurEyesYHVH",0,FALSE,FALSE,NA,NA
"4","Sierra Leone will rise again 
#Yeswecan",FALSE,0,NA,2020-07-21 19:44:54,FALSE,NA,"1285662053659742211",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","davies_dortmund",0,FALSE,FALSE,NA,NA
"5","Went out again some mins ago - 6x5 series of chest dips. #yeswecan https://t.co/nHRjP34q2l",FALSE,0,NA,2020-07-21 19:09:29,FALSE,NA,"1285653139320967169",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","davidsamuelps",0,FALSE,FALSE,NA,NA
"6","@captain15 @ComfortablySmug #YesWeCan",FALSE,0,"captain15",2020-07-21 18:49:38,FALSE,"1285617631047843841","1285648144810889218","24207115","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DefundTheDmv",1,FALSE,FALSE,NA,NA
"7","Let's make America better together, join Mohammad Mehdi Mohammadizadeh in making America better and help him, Ameri… https://t.co/KucOfnvi2X",FALSE,0,NA,2020-07-21 18:37:51,TRUE,NA,"1285645179953831936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RealMFUS",1,FALSE,FALSE,NA,NA
"8","@theguydf @hwinkler4real The singing in Italy at the worst possible time of our lives-people coming together even t… https://t.co/K9e5ZUc2qS",FALSE,2,"theguydf",2020-07-21 17:44:22,TRUE,"1285621550004264960","1285631718444146689","31182217","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","CaraNicAine",0,FALSE,FALSE,NA,NA
"9","It’s a promise! Well done @Apple who’s next? #conservation #yeswecan #natureisspeaking https://t.co/BWWslfKfoB",FALSE,0,NA,2020-07-21 16:28:50,FALSE,NA,"1285612709564882945",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","eochoaScDive",0,FALSE,FALSE,NA,NA
"10","Massachusetts joins Michigan, Nevada, California, New Hampshire and Wisconsin in moving to make it easier for citiz… https://t.co/tLoBVLwKhc",FALSE,9,NA,2020-07-21 16:25:35,TRUE,NA,"1285611891583266816",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","DempseyODwyer",5,FALSE,FALSE,NA,NA
